PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
63,93,10,21,7,15,38,93
36,93,7,21,15,32,13,36
170,107,21,3,4,19,22,170
56,74,13,3,9,24,46,74
25,30,12,2,5,24,12,30
55,30,17,2,4,46,14,55
27,44,25,1,18,41,7,44
37,121,12,3,32,11,12,121
21,28,14,1,7,17,9,28
16,20,6,8,5,24,9,24
25,32,5,8,1,42,21,42
11,21,5,8,1,4,21,21
30,35,13,11,8,41,24,41
20,47,11,11,8,18,24,47
19,17,12,1,16,30,23,30
27,36,8,1,5,16,8,36
34,51,20,3,37,26,40,51
26,28,5,3,10,34,40,40
55,61,19,3,14,29,15,61
26,44,24,11,17,12,17,44
36,37,20,4,37,28,18,37
19,19,28,5,12,45,14,45
63,80,8,12,11,75,3,80
48,75,11,2,10,54,1,75
69,67,18,2,17,24,21,69
59,69,11,3,10,46,22,69
63,80,28,3,9,46,18,80
29,40,28,3,11,32,11,40
40,55,28,3,4,22,9,55
58,62,11,3,11,11,9,62
40,51,16,4,6,32,14,51
70,99,23,7,8,26,30,99
29,33,20,8,12,49,14,49
91,93,42,8,10,65,31,93
29,37,8,10,12,23,20,37
50,63,45,8,6,46,23,63
64,83,32,4,21,37,18,83
44,83,10,4,7,32,17,44
36,29,7,1,11,76,18,76
43,72,27,12,29,16,28,72
33,72,21,12,29,16,28,33
38,58,12,6,9,5,34,58
33,41,7,8,6,39,32,41
48,67,39,4,21,38,22,67
34,54,19,6,17,59,23,59
54,54,34,6,8,59,22,54
31,57,11,7,8,56,43,57
43,57,23,7,4,35,27,43
42,66,10,6,7,32,25,66
33,46,13,6,13,49,22,49
63,103,22,2,20,21,52,103
68,93,44,1,16,15,24,93
31,38,22,4,5,14,61,61
41,46,27,1,4,14,16,46
